state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
48,06128,Texas,Baytown city,93.000%,85.145%,100.000%,1
48,07000,Texas,Beaumont city,87.478%,81.236%,93.720%,1
48,10768,Texas,Brownsville city,84.504%,79.907%,89.101%,1
48,10912,Texas,Bryan city,83.623%,77.989%,89.258%,1
48,13024,Texas,Carrollton city,94.537%,88.968%,100.000%,1
48,13552,Texas,Cedar Park city,94.074%,88.243%,99.905%,1
48,15976,Texas,College Station city,85.506%,79.968%,91.044%,1
48,16432,Texas,Conroe city,93.838%,86.897%,100.000%,1
48,17000,Texas,Corpus Christi city,86.851%,83.649%,90.053%,1
48,19000,Texas,Dallas city,89.824%,88.120%,91.528%,1
48,19972,Texas,Denton city,93.986%,88.888%,99.084%,1
48,22660,Texas,Edinburg city,91.501%,83.668%,99.333%,1
48,24000,Texas,El Paso city,87.785%,85.588%,89.982%,1
48,26232,Texas,Flower Mound town,NA,NA,NA,NA
48,27000,Texas,Fort Worth city,91.505%,89.217%,93.792%,1
