year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,02,240,race-ethnicity,Black,NA,NA
2014,02,240,race-ethnicity,Hispanic,0,3
2014,02,240,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,240,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,261,all,All,0,1
2014,02,261,race-ethnicity,Black,NA,NA
2014,02,261,race-ethnicity,Hispanic,NA,NA
2014,02,261,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,261,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,270,all,All,0,1
2014,02,270,race-ethnicity,Black,NA,NA
2014,02,270,race-ethnicity,Hispanic,NA,NA
2014,02,270,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,270,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,275,all,All,0,1
2014,02,275,race-ethnicity,Black,NA,NA
2014,02,275,race-ethnicity,Hispanic,NA,NA
2014,02,275,race-ethnicity,Other Races and Ethnicities,0,2
2014,02,275,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,282,all,All,NA,NA
2014,02,282,race-ethnicity,Black,NA,NA
2014,02,282,race-ethnicity,Hispanic,NA,NA
2014,02,282,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,02,282,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,02,290,all,All,0,1
2014,02,290,race-ethnicity,Black,NA,NA
2014,02,290,race-ethnicity,Hispanic,0,2
2014,02,290,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,290,race-ethnicity,"White, Non-Hispanic",0,2
2014,04,001,all,All,0.45353335965258584,1
2014,04,001,race-ethnicity,Black,0.4948453608247423,3
2014,04,001,race-ethnicity,Hispanic,0.1740041928721174,2
2014,04,001,race-ethnicity,Other Races and Ethnicities,0.5071572806820731,1
2014,04,001,race-ethnicity,"White, Non-Hispanic",0.029350971475816452,1
2014,04,003,all,All,0.068698322702575,1
2014,04,003,race-ethnicity,Black,0,2
2014,04,003,race-ethnicity,Hispanic,0.1348001537279016,1
2014,04,003,race-ethnicity,Other Races and Ethnicities,0.1204102564102564,1
2014,04,003,race-ethnicity,"White, Non-Hispanic",0.00564034505640345,1
2014,04,005,all,All,0.3286016808947125,1
2014,04,005,race-ethnicity,Black,0.3018867924528302,2
2014,04,005,race-ethnicity,Hispanic,0.35956284153005463,1
2014,04,005,race-ethnicity,Other Races and Ethnicities,0.3837166849215042,1
2014,04,005,race-ethnicity,"White, Non-Hispanic",0.2528693076638282,1
2014,04,007,all,All,0.300982486117044,1
2014,04,007,race-ethnicity,Black,0.08264462809917356,3
2014,04,007,race-ethnicity,Hispanic,0.01813953488372093,1
2014,04,007,race-ethnicity,Other Races and Ethnicities,0.8201370834318128,1
2014,04,007,race-ethnicity,"White, Non-Hispanic",0.005652711535064477,1
2014,04,009,all,All,0.33934059793238336,1
2014,04,009,race-ethnicity,Black,0.15384615384615385,3
2014,04,009,race-ethnicity,Hispanic,0.06300053390282968,1
2014,04,009,race-ethnicity,Other Races and Ethnicities,0.82166264229044494,1
2014,04,009,race-ethnicity,"White, Non-Hispanic",0.008592910848549946,1
2014,04,011,all,All,0,1
2014,04,011,race-ethnicity,Black,NA,NA
2014,04,011,race-ethnicity,Hispanic,0,2
2014,04,011,race-ethnicity,Other Races and Ethnicities,0,2
