year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2014,06,82996,0,1
2016,06,82996,0,1
2018,06,82996,0,1
2021,06,82996,0,1
2023,06,82996,0,1
2014,06,84200,0,1
2016,06,84200,0,1
2018,06,84200,0,1
2021,06,84200,0,1
2023,06,84200,0,1
2014,06,84550,0,1
2016,06,84550,0,1
2018,06,84550,0,1
2021,06,84550,0,1
2023,06,84550,0,1
2014,06,85292,0,1
2016,06,85292,0,1
2018,06,85292,0,1
2021,06,85292,0,1
2023,06,85292,0,1
2014,08,03455,0,1
2016,08,03455,0,1
2018,08,03455,0,1
2021,08,03455,0,1
2023,08,03455,0,1
2014,08,04000,0.13428516590084616,1
2016,08,04000,0.040072539460074254,1
2018,08,04000,0,1
2021,08,04000,0,1
2023,08,04000,0,1
2014,08,07850,0.33831293355575515,1
2016,08,07850,0.4881776958761364,1
2018,08,07850,0.5572080471109062,1
2021,08,07850,0.4157396703581469,1
2023,08,07850,0.47384135803858174,1
2014,08,12815,0,1
2016,08,12815,0,1
2018,08,12815,0,1
2021,08,12815,0,1
2023,08,12815,0,1
2014,08,16000,0.044215418905566274,1
2016,08,16000,0,1
2018,08,16000,0,1
2021,08,16000,0,1
2023,08,16000,0,1
2014,08,20000,0.09747301494032669,1
2016,08,20000,0.09322293786406867,1
2018,08,20000,0.027974771983603007,1
2021,08,20000,0.010915405606549243,1
2023,08,20000,0.006444806020236945,1
2014,08,27425,0.28264198010748753,1
2016,08,27425,0.24234856518678685,1
2018,08,27425,0.2793298362028167,1
2021,08,27425,0.23535237907607492,1
2023,08,27425,0.24740693431718722,1
2014,08,32155,0.31303901528969397,1
2016,08,32155,0.2966129366117683,1
2018,08,32155,0.14293425589080253,1
2021,08,32155,0.01960674283009255,1
2023,08,32155,0.09837064021885708,1
2014,08,43000,0,1
2016,08,43000,0,1
2018,08,43000,0,1
2021,08,43000,0,1
2023,08,43000,0,1
2014,08,45970,0,1
2016,08,45970,0,1
2018,08,45970,0,1
2021,08,45970,0,1
2023,08,45970,0,1
2014,08,46465,0,1
2016,08,46465,0,1
2018,08,46465,0,1
2021,08,46465,0,2
2023,08,46465,0,1
2014,08,62000,0.17563666489046809,1
2016,08,62000,0.2520025350025098,1
2018,08,62000,0.1188583966052419,1
2021,08,62000,0.14830315296351215,1
2023,08,62000,0.09049723628461724,1
2014,08,77290,0,1
2016,08,77290,0,1
2018,08,77290,0,1
2021,08,77290,0,1
2023,08,77290,0,1
2014,08,83835,0,1
2016,08,83835,0,1
2018,08,83835,0,1
2021,08,83835,0,1
2023,08,83835,0,1
2014,09,08000,0.13485119047619049,1
2016,09,08000,0.138206212443964,1
2018,09,08000,0.11205304129832432,1
2021,09,08000,0.11918873038091551,1
2023,09,08000,0.16279925206142906,1
2014,09,18430,0,1
2016,09,18430,0,1
2018,09,18430,0,1
2021,09,18430,0,1
2023,09,18430,0,1
2014,09,37000,0.4557121350477554,1
2016,09,37000,0.4049151863229598,1
2018,09,37000,0.27192758434777675,1
2021,09,37000,0.36537635727869455,1
2023,09,37000,0.19413653786387652,1
2014,09,52000,0.26508312060270217,1
2016,09,52000,0.18167545842753077,1
2018,09,52000,0.09182054698902214,1
2021,09,52000,0.020930006165428172,1
2023,09,52000,0.1529629984969139,1
2014,09,55990,0,1
2016,09,55990,0,1
2018,09,55990,0,1
2021,09,55990,0,1
2023,09,55990,0,1
2014,09,73000,0,1
2016,09,73000,0,1
2018,09,73000,0,1
2021,09,73000,0,1
2023,09,73000,0,1
2014,09,80000,0.4219049077406018,1
2016,09,80000,0.30724414642189735,1
2018,09,80000,0.2585842148087876,1
2021,09,80000,0.17548562708788717,1
2023,09,80000,0.19108303919747352,1
2014,11,50000,0.20250873118908738,1
2016,11,50000,0.21847224701053009,1
2018,11,50000,0.11243230408139036,1
2021,11,50000,0.1420223021725735,1
2023,11,50000,0.09477374123645634,1
2014,12,07300,0.020999023017646747,1
2016,12,07300,0,1
2018,12,07300,0,1
2021,12,07300,0,1
2023,12,07300,0,1
2014,12,07875,0,1
2016,12,07875,0,1
2018,12,07875,0,1
2021,12,07875,0,2
2023,12,07875,0,2
2014,12,10275,0,1
2016,12,10275,0,1
2018,12,10275,0,1
2021,12,10275,0,1
2023,12,10275,0,1
2014,12,12875,0.049969304741666123,1
2016,12,12875,0.050998406982321304,1
2018,12,12875,0,1
2021,12,12875,0,1
2023,12,12875,0.09577203180933146,1
2014,12,14400,0,1
2016,12,14400,0,1
2018,12,14400,0,1
2021,12,14400,0,1
2023,12,14400,0,1
2014,12,16475,0,1
2016,12,16475,0,1
2018,12,16475,0,1
2021,12,16475,0,1
2023,12,16475,0,1
2014,12,16725,0.14207942314873492,1
2016,12,16725,0,1
2018,12,16725,0,1
2021,12,16725,0,1
2023,12,16725,0,1
2014,12,17200,0,1
2016,12,17200,0,1
2018,12,17200,0,1
2021,12,17200,0,1
2023,12,17200,0,1
2014,12,17935,0,1
2016,12,17935,0,1
2018,12,17935,0,1
2021,12,17935,0,1
2023,12,17935,0,1
2014,12,24000,0.23489080672515447,1
2016,12,24000,0.2150767600807006,1
2018,12,24000,0.05787982347940057,1
2021,12,24000,0.03271561937973608,1
2023,12,24000,0.14128639139454752,1
2014,12,24125,0.3394565898362854,1
2016,12,24125,0.22413942786412594,1
2018,12,24125,0,1
2021,12,24125,0.1525877593619959,1
2023,12,24125,0.20875181874298812,1
2014,12,25175,0.6804471898411687,1
2016,12,25175,0.5987764570408034,1
2018,12,25175,0.5198008824384392,1
2021,12,25175,0.5015100924662786,1
2023,12,25175,0.3661498458363852,1
2014,12,30000,0.06628528125901134,1
2016,12,30000,0.0919897730692318,1
2018,12,30000,0.0624940088799391,1
2021,12,30000,0.012764596363083162,1
2023,12,30000,0,1
2014,12,32000,0.06087548548957382,1
2016,12,32000,0.0603815273490059,1
2018,12,32000,0.0675203430947468,1
2021,12,32000,0,1
2023,12,32000,0,1
2014,12,32275,0.5324478252974144,1
2016,12,32275,0.34886278688412764,1
2018,12,32275,0.17794543324324338,1
2021,12,32275,0.5010128505696975,1
2023,12,32275,0.4176858488532196,1
2014,12,35000,0.14838988498116695,1
2016,12,35000,0.12361480515003154,1
2018,12,35000,0.09035149217598631,1
2021,12,35000,0.0943434486596927,1
2023,12,35000,0.1286491214428869,1
2014,12,36950,0.17385221138784207,1
2016,12,36950,0,1
2018,12,36950,0,1
2021,12,36950,0,1
2023,12,36950,0,1
2014,12,38250,0.1377119928747451,1
2016,12,38250,0.31269043548744785,1
2018,12,38250,0.22459885695282017,1
2021,12,38250,0.11080230031690376,1
2023,12,38250,0.0553330756041634,1
2014,12,39425,0.04082451774123598,1
2016,12,39425,0,1
2018,12,39425,0,1
2021,12,39425,0.0060976611446552365,1
2023,12,39425,0,1
2014,12,43975,0.0998230215127006,1
2016,12,43975,0.2134799843629311,1
2018,12,43975,0.11266324591599693,1
2021,12,43975,0,1
2023,12,43975,0,1
2014,12,45000,0.3706319895490282,1
