year,state,county,subgroup_type,subgroup,digital_access,digital_access_quality
2021,02,090,race-ethnicity,Hispanic,0.9135479041916168,1
2021,02,090,race-ethnicity,White,0.8856647105292856,1
2021,02,100,all,All,0.8679694947569113,1
2021,02,100,race-ethnicity,Other Races and Ethnicities,0.6793103448275862,3
2021,02,100,race-ethnicity,Black,NA,NA
2021,02,100,race-ethnicity,Hispanic,0.7028985507246377,3
2021,02,100,race-ethnicity,White,0.8982300884955752,1
2021,02,105,all,All,0.6239793725827245,1
2021,02,105,race-ethnicity,Other Races and Ethnicities,0.6692844677137871,1
2021,02,105,race-ethnicity,Black,NA,NA
2021,02,105,race-ethnicity,Hispanic,0.6130434782608696,3
2021,02,105,race-ethnicity,White,0.5994718309859155,2
2021,02,110,all,All,0.9252171215880893,1
2021,02,110,race-ethnicity,Other Races and Ethnicities,0.8813037573562698,1
2021,02,110,race-ethnicity,Black,0.7267080745341615,3
2021,02,110,race-ethnicity,Hispanic,0.9334801762114537,1
2021,02,110,race-ethnicity,White,0.9515163129401619,1
2021,02,122,all,All,0.8620871727614927,1
2021,02,122,race-ethnicity,Other Races and Ethnicities,0.840443061149762,1
2021,02,122,race-ethnicity,Black,0.726161369193154,2
2021,02,122,race-ethnicity,Hispanic,0.903125,1
2021,02,122,race-ethnicity,White,0.8682510870024062,1
2021,02,130,all,All,0.8967644737786068,1
2021,02,130,race-ethnicity,Other Races and Ethnicities,0.8688760806916427,1
2021,02,130,race-ethnicity,Black,0.9819819819819819,2
2021,02,130,race-ethnicity,Hispanic,0.9177215189873418,1
2021,02,130,race-ethnicity,White,0.9108138238573021,1
2021,02,150,all,All,0.9176123467998184,1
2021,02,150,race-ethnicity,Other Races and Ethnicities,0.9210398050365557,1
2021,02,150,race-ethnicity,Black,NA,NA
2021,02,150,race-ethnicity,Hispanic,0.9379779099405268,1
2021,02,150,race-ethnicity,White,0.9228769497400346,1
2021,02,158,all,All,0.7034953315776873,1
2021,02,158,race-ethnicity,Other Races and Ethnicities,0.7212038642556353,1
2021,02,158,race-ethnicity,Black,NA,NA
2021,02,158,race-ethnicity,Hispanic,NA,NA
2021,02,158,race-ethnicity,White,NA,NA
2021,02,164,all,All,0.6947261663286004,3
2021,02,164,race-ethnicity,Other Races and Ethnicities,0.7016574585635359,3
2021,02,164,race-ethnicity,Black,1,3
2021,02,164,race-ethnicity,Hispanic,NA,NA
2021,02,164,race-ethnicity,White,0.6458333333333334,3
2021,02,170,all,All,0.9093785987809788,1
2021,02,170,race-ethnicity,Other Races and Ethnicities,0.882937946752305,1
2021,02,170,race-ethnicity,Black,0.8863955119214586,1
2021,02,170,race-ethnicity,Hispanic,0.9413296302725221,1
2021,02,170,race-ethnicity,White,0.9156898054022654,1
2021,02,180,all,All,0.7811320754716982,1
2021,02,180,race-ethnicity,Other Races and Ethnicities,0.7974861975801715,1
2021,02,180,race-ethnicity,Black,NA,NA
2021,02,180,race-ethnicity,Hispanic,0.8613861386138614,1
2021,02,180,race-ethnicity,White,0.7055214723926381,1
2021,02,185,all,All,0.5456051541647492,1
2021,02,185,race-ethnicity,Other Races and Ethnicities,0.683757338551859,1
2021,02,185,race-ethnicity,Black,0.9021739130434783,3
2021,02,185,race-ethnicity,Hispanic,0.6484018264840182,2
2021,02,185,race-ethnicity,White,0.19433719433719435,3
2021,02,188,all,All,0.8132716049382716,1
2021,02,188,race-ethnicity,Other Races and Ethnicities,0.8227012758468983,1
2021,02,188,race-ethnicity,Black,0.7471264367816092,3
2021,02,188,race-ethnicity,Hispanic,0.7918781725888325,2
2021,02,188,race-ethnicity,White,0.7459770114942529,2
2021,02,195,all,All,0.8895486935866983,1
2021,02,195,race-ethnicity,Other Races and Ethnicities,0.8610871440897325,2
2021,02,195,race-ethnicity,Black,NA,NA
2021,02,195,race-ethnicity,Hispanic,0.900523560209424,3
2021,02,195,race-ethnicity,White,0.9098850574712644,1
2021,02,198,all,All,0.7048929663608563,1
2021,02,198,race-ethnicity,Other Races and Ethnicities,0.6903553299492385,1
2021,02,198,race-ethnicity,Black,0.6875,3
2021,02,198,race-ethnicity,Hispanic,0.7741935483870968,2
2021,02,198,race-ethnicity,White,0.7218543046357616,1
2021,02,220,all,All,0.8754402441887768,1
2021,02,220,race-ethnicity,Other Races and Ethnicities,0.8474132285527177,1
2021,02,220,race-ethnicity,Black,0.7254901960784313,3
2021,02,220,race-ethnicity,Hispanic,0.8601973684210527,1
2021,02,220,race-ethnicity,White,0.8926658045446149,1
2021,02,230,all,All,0.7960872836719338,1
2021,02,230,race-ethnicity,Other Races and Ethnicities,0.7692307692307693,3
2021,02,230,race-ethnicity,Black,NA,NA
2021,02,230,race-ethnicity,Hispanic,0.76,3
2021,02,230,race-ethnicity,White,0.8328416912487709,1
2021,02,240,all,All,0.7082785808147175,1
2021,02,240,race-ethnicity,Other Races and Ethnicities,0.5992779783393501,2
2021,02,240,race-ethnicity,Black,0.6351351351351351,3
2021,02,240,race-ethnicity,Hispanic,0.8539094650205762,2
2021,02,240,race-ethnicity,White,0.7447682378251516,1
2021,02,275,all,All,0.8519888991674376,1
2021,02,275,race-ethnicity,Other Races and Ethnicities,0.8585972850678733,2
