year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,079,Alabama,Lawrence County,TRUE,All,all,NA,NA,36,Strong,NA,NA,NA,NA
2014,01,079,Alabama,Lawrence County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,079,Alabama,Lawrence County,TRUE,White neighborhoods,race-ethnicity,NA,NA,36,Strong,NA,NA,NA,NA
2014,01,079,Alabama,Lawrence County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,38,Strong,NA,NA,NA,NA
2014,01,081,Alabama,Lee County,TRUE,All,all,NA,NA,8,Strong,NA,NA,NA,NA
2014,01,081,Alabama,Lee County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,081,Alabama,Lee County,TRUE,White neighborhoods,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,01,081,Alabama,Lee County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,All,all,NA,NA,35,Strong,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,White neighborhoods,race-ethnicity,NA,NA,35,Strong,NA,NA,NA,NA
2014,01,083,Alabama,Limestone County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,26,Strong,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,All,all,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,All,all,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,All,all,NA,NA,28,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,White neighborhoods,race-ethnicity,NA,NA,31,Strong,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,22,Strong,NA,NA,NA,NA
