state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_poverty_exposure,share_poverty_exposure_quality
06,36448,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,36448,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
06,36448,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
06,36546,all,All,0.98813498,0.8348549,1.141415,1,0,1
06,36546,race-ethnicity,"Black, Non-Hispanic",0.89225805,0.74018842,1.0443277,2,NA,NA
06,36546,race-ethnicity,Hispanic,1.0576959,0.90785593,1.2075359,2,0,1
06,36546,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
06,36770,all,All,1.0681034,0.96436268,1.1718441,1,0.090672755990165,1
06,36770,race-ethnicity,"Black, Non-Hispanic",1.0971067,0.65445542,1.539758,1,NA,NA
06,36770,race-ethnicity,Hispanic,1.0864317,0.85349864,1.3193649,1,0.10374085813781264,1
06,36770,race-ethnicity,"White, Non-Hispanic",1.0335755,0.91038644,1.1567646,1,0.0704701202476759,1
06,37692,all,All,1.0838259,0.94823873,1.2194132,1,0,1
06,37692,race-ethnicity,"Black, Non-Hispanic",1.3807077,0.34994793,2.4114676,3,NA,NA
06,37692,race-ethnicity,Hispanic,1.1126323,1.0070935,1.218171,1,0,1
06,37692,race-ethnicity,"White, Non-Hispanic",0.86573529,0.56744373,1.1640269,1,0,2
06,39496,all,All,NA,NA,NA,NA,0,1
06,39496,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,39496,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
06,39496,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
06,39892,all,All,NA,NA,NA,NA,0,1
06,39892,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,39892,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
06,39892,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,1
