year,state,county,adults,children,wage
2021,01,083,2 Adults (Both Working),1 Child,16.88
2021,01,083,2 Adults (Both Working),2 Children,21.64
2021,01,083,2 Adults (Both Working),3 Children,25.21
2021,01,085,1 Adult,0 Children,16.04
2021,01,085,1 Adult,1 Child,30.58
2021,01,085,1 Adult,2 Children,37.6
2021,01,085,1 Adult,3 Children,48.71
2021,01,085,2 Adults (1 Working),0 Children,25.52
2021,01,085,2 Adults (1 Working),1 Child,30.31
2021,01,085,2 Adults (1 Working),2 Children,35.73
2021,01,085,2 Adults (1 Working),3 Children,38.52
2021,01,085,2 Adults (Both Working),0 Children,12.76
2021,01,085,2 Adults (Both Working),1 Child,17.01
2021,01,085,2 Adults (Both Working),2 Children,21.58
2021,01,085,2 Adults (Both Working),3 Children,24.83
2021,01,087,1 Adult,0 Children,14.97
2021,01,087,1 Adult,1 Child,29.03
2021,01,087,1 Adult,2 Children,36.38
2021,01,087,1 Adult,3 Children,47.22
2021,01,087,2 Adults (1 Working),0 Children,23.5
2021,01,087,2 Adults (1 Working),1 Child,28.43
2021,01,087,2 Adults (1 Working),2 Children,33.85
2021,01,087,2 Adults (1 Working),3 Children,36.04
2021,01,087,2 Adults (Both Working),0 Children,11.75
2021,01,087,2 Adults (Both Working),1 Child,16.24
2021,01,087,2 Adults (Both Working),2 Children,20.97
2021,01,087,2 Adults (Both Working),3 Children,24.09
2021,01,089,1 Adult,0 Children,15.64
2021,01,089,1 Adult,1 Child,30.31
2021,01,089,1 Adult,2 Children,37.73
2021,01,089,1 Adult,3 Children,49.45
2021,01,089,2 Adults (1 Working),0 Children,24.94
2021,01,089,2 Adults (1 Working),1 Child,29.64
2021,01,089,2 Adults (1 Working),2 Children,35.06
2021,01,089,2 Adults (1 Working),3 Children,38.07
2021,01,089,2 Adults (Both Working),0 Children,12.47
2021,01,089,2 Adults (Both Working),1 Child,16.88
2021,01,089,2 Adults (Both Working),2 Children,21.64
2021,01,089,2 Adults (Both Working),3 Children,25.21
2021,01,091,1 Adult,0 Children,14.8
2021,01,091,1 Adult,1 Child,28.17
2021,01,091,1 Adult,2 Children,34.89
2021,01,091,1 Adult,3 Children,45.72
2021,01,091,2 Adults (1 Working),0 Children,23.91
2021,01,091,2 Adults (1 Working),1 Child,28.19
2021,01,091,2 Adults (1 Working),2 Children,33.62
2021,01,091,2 Adults (1 Working),3 Children,36.43
2021,01,091,2 Adults (Both Working),0 Children,11.95
