year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,17,147,NA,NA,NA,NA
2018,17,149,NA,NA,NA,NA
2018,17,151,NA,NA,NA,NA
2018,17,153,NA,NA,NA,NA
2018,17,155,NA,NA,NA,NA
2018,17,157,0.5194201312910286,0.4422645277415321,0.5965757348405251,3
2018,17,159,NA,NA,NA,NA
2018,17,161,0.37218045112781956,0.2629923262258256,0.48136857602981353,1
2018,17,163,0.6165090283748925,0.5306185239583789,0.7023995327914061,1
2018,17,165,0.4520948359857099,0.35988678454080236,0.5443028874306174,3
2018,17,167,0.5770119773061567,0.49106775066894065,0.6629562039433727,1
2018,17,169,NA,NA,NA,NA
2018,17,171,NA,NA,NA,NA
2018,17,173,0.5344271901552882,0.4472967480499988,0.6215576322605776,3
2018,17,175,NA,NA,NA,NA
2018,17,177,0.6252455795677797,0.5276924930872403,0.7227986660483191,2
2018,17,179,0.4658801020408163,0.3719711486352661,0.5597890554463665,1
2018,17,181,NA,NA,NA,NA
2018,17,183,0.44140290846877733,0.35311080898171276,0.5296950079558419,2
2018,17,185,NA,NA,NA,NA
2018,17,187,NA,NA,NA,NA
2018,17,189,NA,NA,NA,NA
2018,17,191,NA,NA,NA,NA
2018,17,193,NA,NA,NA,NA
2018,17,195,0.49560761346998516,0.4020255706804929,0.5891896562594774,2
2018,17,197,0.4646278130409694,0.4193728490486556,0.5098827770332832,1
2018,17,199,0.5223555070883319,0.4449479038797787,0.5997631102968851,2
2018,17,201,0.4779900030524409,0.41402177875029056,0.5419582273545912,1
2018,17,203,0.5080264400377715,0.43120929538428004,0.5848435846912631,3
2018,18,001,0.3750339213025778,0.27827264113210143,0.47179520147305415,3
2018,18,003,0.37286879169755377,0.3194686778242153,0.42626890557089225,1
2018,18,005,0.40280963302752293,0.32655746309557326,0.4790618029594726,2
2018,18,007,NA,NA,NA,NA
2018,18,009,NA,NA,NA,NA
2018,18,011,0.47722657383231804,0.36352783495896474,0.5909253127056713,2
2018,18,013,NA,NA,NA,NA
2018,18,015,0.32629992464204965,0.2423723637160891,0.4102274855680102,3
2018,18,017,0.48020272410516274,0.3713793026744396,0.5890261455358858,3
2018,18,019,0.3161708619374523,0.21114756369753646,0.42119416017736816,1
2018,18,021,0.42511900402782876,0.3337608142377564,0.5164771938179011,3
2018,18,023,0.3262999246420495,0.24237236371608883,0.41022748556801014,3
2018,18,025,NA,NA,NA,NA
2018,18,027,0.3416789396170836,0.27061423168047855,0.4127436475536887,3
2018,18,029,0.28707224334600767,0.19573002728218297,0.37841445940983237,2
2018,18,031,NA,NA,NA,NA
2018,18,033,0.2864737152982871,0.214917305825944,0.3580301247706301,3
2018,18,035,0.4025294374182294,0.3021348739363684,0.5029240009000904,1
2018,18,037,0.4667736757624397,0.38334740126927314,0.5501999502556063,3
2018,18,039,0.28733264675592174,0.22155258230342195,0.3531127112084215,1
2018,18,041,NA,NA,NA,NA
2018,18,043,0.42980189491817367,0.347417877917241,0.5121859119191063,2
2018,18,045,NA,NA,NA,NA
2018,18,047,NA,NA,NA,NA
2018,18,049,NA,NA,NA,NA
2018,18,051,0.4025695931477515,0.29402308536788857,0.5111161009276144,3
2018,18,053,0.4296272493573267,0.33467579932871894,0.5245786993859345,2
2018,18,055,0.3416789396170834,0.27061423168047843,0.41274364755368836,3
2018,18,057,0.5413364931617217,0.46597647164228695,0.6166965146811565,1
2018,18,059,0.5246020260492041,0.38351210317395185,0.6656919489244564,2
2018,18,061,0.42980189491817355,0.3474178779172408,0.5121859119191063,3
2018,18,063,0.5771144278606966,0.5009641197903321,0.653264735931061,1
2018,18,065,0.3941605839416063,0.2991874129279441,0.4891337549552685,2
2018,18,067,0.48020272410516307,0.37137930267443964,0.5890261455358865,2
2018,18,069,0.37503392130257757,0.27827264113210126,0.47179520147305387,3
2018,18,071,0.40280963302752315,0.32655746309557343,0.47906180295947287,2
2018,18,073,0.3945167286245352,0.29353843159679877,0.4954950256522716,3
2018,18,075,NA,NA,NA,NA
