year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,04,027,all,All,0.7978941210880375,0.7404346131818447,0.8553536289942303,1
2014,04,027,gender,Female,0.8011117974058061,0.7173766557380463,0.8848469390735658,1
2014,04,027,gender,Male,0.795,0.7102485913645448,0.8797514086354553,1
2014,05,001,all,All,NA,NA,NA,NA
2014,05,001,gender,Female,NA,NA,NA,NA
2014,05,001,gender,Male,NA,NA,NA,NA
2014,05,003,all,All,0.8615058965830057,0.8028553081828442,0.9201564849831672,3
2014,05,003,gender,Female,NA,NA,NA,NA
2014,05,003,gender,Male,NA,NA,NA,NA
2014,05,005,all,All,0.9034722222222225,0.8408246442671707,0.966119800177274,3
2014,05,005,gender,Female,NA,NA,NA,NA
2014,05,005,gender,Male,NA,NA,NA,NA
2014,05,007,all,All,0.9093424479166666,0.8663175653343286,0.9523673304990048,1
2014,05,007,gender,Female,0.951227604512276,0.9100599046621284,0.9923953043624236,1
2014,05,007,gender,Male,0.8690095846645367,0.7985367705733636,0.9394823987557098,1
2014,05,009,all,All,0.9034722222222222,0.8408246442671706,0.9661198001772738,3
2014,05,009,gender,Female,NA,NA,NA,NA
2014,05,009,gender,Male,NA,NA,NA,NA
2014,05,011,all,All,NA,NA,NA,NA
2014,05,011,gender,Female,NA,NA,NA,NA
2014,05,011,gender,Male,NA,NA,NA,NA
2014,05,013,all,All,NA,NA,NA,NA
2014,05,013,gender,Female,NA,NA,NA,NA
2014,05,013,gender,Male,NA,NA,NA,NA
2014,05,015,all,All,NA,NA,NA,NA
2014,05,015,gender,Female,NA,NA,NA,NA
2014,05,015,gender,Male,NA,NA,NA,NA
2014,05,017,all,All,NA,NA,NA,NA
2014,05,017,gender,Female,NA,NA,NA,NA
2014,05,017,gender,Male,NA,NA,NA,NA
2014,05,019,all,All,0.8979196903725205,0.8323809633061321,0.9634584174389088,3
2014,05,019,gender,Female,NA,NA,NA,NA
2014,05,019,gender,Male,NA,NA,NA,NA
2014,05,021,all,All,0.8703059805285119,0.8133226543845551,0.9272893066724688,3
2014,05,021,gender,Female,NA,NA,NA,NA
2014,05,021,gender,Male,NA,NA,NA,NA
2014,05,023,all,All,NA,NA,NA,NA
2014,05,023,gender,Female,NA,NA,NA,NA
2014,05,023,gender,Male,NA,NA,NA,NA
2014,05,025,all,All,NA,NA,NA,NA
2014,05,025,gender,Female,NA,NA,NA,NA
2014,05,025,gender,Male,NA,NA,NA,NA
2014,05,027,all,All,0.8765697883028346,0.802229338059237,0.9509102385464322,3
2014,05,027,gender,Female,NA,NA,NA,NA
2014,05,027,gender,Male,NA,NA,NA,NA
2014,05,029,all,All,0.8923220973782772,0.8350286552705968,0.9496155394859576,3
2014,05,029,gender,Female,NA,NA,NA,NA
2014,05,029,gender,Male,NA,NA,NA,NA
2014,05,031,all,All,0.8700519540694012,0.8181703909309233,0.9219335172078792,2
2014,05,031,gender,Female,0.8778232316704616,0.8022969895600456,0.9533494737808776,2
2014,05,031,gender,Male,0.8618184336524232,0.7888686882204787,0.9347681790843676,2
2014,05,033,all,All,0.8775258748151799,0.8139876983852696,0.94106405124509,3
2014,05,033,gender,Female,NA,NA,NA,NA
2014,05,033,gender,Male,NA,NA,NA,NA
2014,05,035,all,All,0.8671846096929339,0.7909117256754449,0.9434574937104228,2
2014,05,035,gender,Female,NA,NA,NA,NA
2014,05,035,gender,Male,0.870436649964209,0.7772944930169529,0.9635788069114652,2
2014,05,037,all,All,NA,NA,NA,NA
2014,05,037,gender,Female,NA,NA,NA,NA
2014,05,037,gender,Male,NA,NA,NA,NA
2014,05,039,all,All,NA,NA,NA,NA
2014,05,039,gender,Female,NA,NA,NA,NA
2014,05,039,gender,Male,NA,NA,NA,NA
2014,05,041,all,All,NA,NA,NA,NA
2014,05,041,gender,Female,NA,NA,NA,NA
2014,05,041,gender,Male,NA,NA,NA,NA
2014,05,043,all,All,NA,NA,NA,NA
2014,05,043,gender,Female,NA,NA,NA,NA
2014,05,043,gender,Male,NA,NA,NA,NA
2014,05,045,all,All,0.9322588768572146,0.8991245304868954,0.9653932232275338,2
2014,05,045,gender,Female,0.9418892185954502,0.8948216273510133,0.988956809839887,2
2014,05,045,gender,Male,0.922267829656234,0.8831408719790892,0.9613947873333788,2
2014,05,047,all,All,0.7804269476018851,0.6957707545335727,0.8650831406701975,3
2014,05,047,gender,Female,NA,NA,NA,NA
2014,05,047,gender,Male,NA,NA,NA,NA
2014,05,049,all,All,NA,NA,NA,NA
2014,05,049,gender,Female,NA,NA,NA,NA
2014,05,049,gender,Male,NA,NA,NA,NA
2014,05,051,all,All,0.8979196903725204,0.832380963306132,0.9634584174389088,2
2014,05,051,gender,Female,0.8797372410308236,0.798615337417856,0.9608591446437912,2
