year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,5,5029,NA,NA,race-ethnicity,Majority Non-White
2023,5,5029,.0490798,1,race-ethnicity,Majority White
2023,5,5031,.1359807,1,race-ethnicity,All
2023,5,5031,NA,NA,race-ethnicity,Majority Non-White
2023,5,5031,.1359807,1,race-ethnicity,Majority White
2023,5,5033,.0484375,1,race-ethnicity,All
2023,5,5033,NA,NA,race-ethnicity,Majority Non-White
2023,5,5033,.0484627,1,race-ethnicity,Majority White
2023,5,5035,.1525424,1,race-ethnicity,All
2023,5,5035,.1688312,1,race-ethnicity,Majority Non-White
2023,5,5035,.1305732,1,race-ethnicity,Majority White
2023,5,5037,.1058601,1,race-ethnicity,All
2023,5,5037,NA,NA,race-ethnicity,Majority Non-White
2023,5,5037,.1037924,1,race-ethnicity,Majority White
2023,5,5039,.1606218,1,race-ethnicity,All
2023,5,5039,.2,1,race-ethnicity,Majority Non-White
2023,5,5039,NA,NA,race-ethnicity,Majority White
2023,5,5041,.1034483,1,race-ethnicity,All
2023,5,5041,.1333333,1,race-ethnicity,Majority Non-White
2023,5,5041,.0718954,1,race-ethnicity,Majority White
2023,5,5043,.1516755,1,race-ethnicity,All
2023,5,5043,NA,NA,race-ethnicity,Majority Non-White
2023,5,5043,.1507353,1,race-ethnicity,Majority White
2023,5,5045,.0512284,1,race-ethnicity,All
2023,5,5045,NA,NA,race-ethnicity,Majority Non-White
2023,5,5045,.0512284,1,race-ethnicity,Majority White
2023,5,5047,.0646465,1,race-ethnicity,All
2023,5,5047,NA,NA,race-ethnicity,Majority Non-White
2023,5,5047,.0646465,1,race-ethnicity,Majority White
2023,5,5049,.0833333,1,race-ethnicity,All
2023,5,5049,NA,NA,race-ethnicity,Majority Non-White
2023,5,5049,.0809249,1,race-ethnicity,Majority White
2023,5,5051,.0504615,1,race-ethnicity,All
2023,5,5051,NA,NA,race-ethnicity,Majority Non-White
2023,5,5051,.0504615,1,race-ethnicity,Majority White
2023,5,5053,.0551601,1,race-ethnicity,All
2023,5,5053,NA,NA,race-ethnicity,Majority Non-White
2023,5,5053,.0554562,1,race-ethnicity,Majority White
2023,5,5055,.1160261,1,race-ethnicity,All
2023,5,5055,NA,NA,race-ethnicity,Majority Non-White
2023,5,5055,.1160261,1,race-ethnicity,Majority White
2023,5,5057,.1093502,1,race-ethnicity,All
2023,5,5057,NA,NA,race-ethnicity,Majority Non-White
2023,5,5057,.106961,1,race-ethnicity,Majority White
2023,5,5059,.04,1,race-ethnicity,All
2023,5,5059,NA,NA,race-ethnicity,Majority Non-White
2023,5,5059,.04,1,race-ethnicity,Majority White
2023,5,5061,.1264368,1,race-ethnicity,All
2023,5,5061,.1014493,1,race-ethnicity,Majority Non-White
2023,5,5061,.1311475,1,race-ethnicity,Majority White
2023,5,5063,.0620748,1,race-ethnicity,All
2023,5,5063,NA,NA,race-ethnicity,Majority Non-White
2023,5,5063,.0620748,1,race-ethnicity,Majority White
2023,5,5065,.0860534,1,race-ethnicity,All
2023,5,5065,NA,NA,race-ethnicity,Majority Non-White
2023,5,5065,.0860534,1,race-ethnicity,Majority White
2023,5,5067,.0951374,1,race-ethnicity,All
2023,5,5067,NA,NA,race-ethnicity,Majority Non-White
2023,5,5067,.0951374,1,race-ethnicity,Majority White
2023,5,5069,.1059908,1,race-ethnicity,All
2023,5,5069,.1144131,1,race-ethnicity,Majority Non-White
2023,5,5069,.0873147,1,race-ethnicity,Majority White
2023,5,5071,.0727003,1,race-ethnicity,All
2023,5,5071,NA,NA,race-ethnicity,Majority Non-White
2023,5,5071,.0727003,1,race-ethnicity,Majority White
2023,5,5073,.102439,1,race-ethnicity,All
2023,5,5073,.1351351,1,race-ethnicity,Majority Non-White
2023,5,5073,.0839695,1,race-ethnicity,Majority White
2023,5,5075,.1026549,1,race-ethnicity,All
2023,5,5075,NA,NA,race-ethnicity,Majority Non-White
2023,5,5075,.1026549,1,race-ethnicity,Majority White
2023,5,5077,.1128205,1,race-ethnicity,All
2023,5,5077,.1271676,1,race-ethnicity,Majority Non-White
2023,5,5077,NA,NA,race-ethnicity,Majority White
2023,5,5079,.1025641,1,race-ethnicity,All
2023,5,5079,NA,NA,race-ethnicity,Majority Non-White
2023,5,5079,.1073171,1,race-ethnicity,Majority White
2023,5,5081,.1305556,1,race-ethnicity,All
2023,5,5081,NA,NA,race-ethnicity,Majority Non-White
2023,5,5081,.1305556,1,race-ethnicity,Majority White
2023,5,5083,.0682853,1,race-ethnicity,All
2023,5,5083,NA,NA,race-ethnicity,Majority Non-White
2023,5,5083,.0682853,1,race-ethnicity,Majority White
2023,5,5085,.0452946,1,race-ethnicity,All
2023,5,5085,NA,NA,race-ethnicity,Majority Non-White
2023,5,5085,.0453944,1,race-ethnicity,Majority White
2023,5,5087,.0595534,1,race-ethnicity,All
2023,5,5087,NA,NA,race-ethnicity,Majority Non-White
2023,5,5087,.0595534,1,race-ethnicity,Majority White
2023,5,5089,.1175439,1,race-ethnicity,All
2023,5,5089,NA,NA,race-ethnicity,Majority Non-White
2023,5,5089,.1175439,1,race-ethnicity,Majority White
2023,5,5091,.1156463,1,race-ethnicity,All
2023,5,5091,NA,NA,race-ethnicity,Majority Non-White
2023,5,5091,.1156463,1,race-ethnicity,Majority White
2023,5,5093,.1436077,1,race-ethnicity,All
2023,5,5093,.1405473,1,race-ethnicity,Majority Non-White
